date,commodity_group,index,inflation_yoy,inflation_mom
2023-03-01,Clothing and footwear,229.71,13.909550728949727,4.5229103153296535
2023-04-01,Clothing and footwear,232.33,13.09448473932726,1.1405685429454637
2023-05-01,Clothing and footwear,233.53,11.379787284780862,0.5165066930658879
2023-06-01,Clothing and footwear,229.17,11.188200475474241,-1.8669978161264145
2023-07-01,Clothing and footwear,223.07,11.775316931402525,-2.6617794650259596
2023-08-01,Clothing and footwear,233.76,12.082853855005737,4.7922176895145
2023-09-01,Clothing and footwear,242.21,9.66675722176944,3.6148186173853514
2023-10-01,Clothing and footwear,243.87,7.697403285638593,0.6853556830849206
2023-11-01,Clothing and footwear,241.09,6.132241591829546,-1.1399516135646048
2023-12-01,Clothing and footwear,237.23,5.127182486927229,-1.6010618441246072
2024-01-01,Clothing and footwear,225.69,4.052558782849225,-4.864477511275977
2024-02-01,Clothing and footwear,229.44,4.400054602539005,1.6615711817094203
2024-03-01,Clothing and footwear,237.88,3.556658395368073,3.6785216178521596
2024-04-01,Clothing and footwear,239.72,3.180820384797478,0.773499243315956
2024-05-01,Clothing and footwear,239.15,2.4065430565666013,-0.23777740697480398
2024-06-01,Clothing and footwear,234.95,2.522145132434428,-1.7562199456408134
2024-07-01,Clothing and footwear,217.87,-2.3311068274532554,-7.269631836560963
2024-08-01,Clothing and footwear,224.89,-3.7944900752909017,3.222104924955249
2024-09-01,Clothing and footwear,237.21,-2.064324346641344,5.478233803192678
2024-10-01,Clothing and footwear,241.49,-0.975929798663222,1.8043084187007397
2024-11-01,Clothing and footwear,240.66,-0.17835663030404403,-0.34369953207172843
2024-12-01,Clothing and footwear,239.58,0.9905998398179072,-0.4487658937920691
2025-01-01,Clothing and footwear,226.29,0.2658513890735126,-5.547207613323324
2025-02-01,Clothing and footwear,226.45,-1.303172942817299,0.0707057315833648
2025-03-01,Clothing and footwear,229.76,-3.413485791155202,1.461691322587777
2025-04-01,Clothing and footwear,228.9,-4.513599199065577,-0.37430362116991356
2025-05-01,Clothing and footwear,228.42,-4.4867238135061775,-0.20969855832242423
2025-06-01,Clothing and footwear,225.3,-4.107256863162368,-1.36590491200419
2025-07-01,Clothing and footwear,215.92,-0.8950291458209136,-4.163337771859754
2025-08-01,Clothing and footwear,220.75,-1.84089999555338,2.236939607261945
2025-09-01,Clothing and footwear,226.54,-4.498124025125428,2.6228765571914003
2025-10-01,Clothing and footwear,224.77,-6.923682140047205,-0.7813189723669067
2025-11-01,Clothing and footwear,227.0,-5.676057508518239,0.9921252836232464
2025-12-01,Clothing and footwear,223.83,-6.574004507888809,-1.3964757709251097
2020-01-01,Communication,90.0,,
2020-02-01,Communication,89.92,,-0.0888888888888828
2020-03-01,Communication,89.83,,-0.10008896797153444
2020-04-01,Communication,89.85,,0.022264276967609575
2020-05-01,Communication,89.24,,-0.6789092932665497
2020-06-01,Communication,89.26,,0.022411474675054777
2020-07-01,Communication,89.26,,0.0
2020-08-01,Communication,89.23,,-0.03360967958772054
2020-09-01,Communication,89.09,,-0.15689790429227468
2020-10-01,Communication,88.59,,-0.561230216634867
2020-11-01,Communication,88.33,,-0.29348684953155457
2020-12-01,Communication,88.09,,-0.2717083663534403
2021-01-01,Communication,88.44,-1.7333333333333312,0.3973209217845275
2021-02-01,Communication,88.23,-1.879448398576511,-0.23744911804612912
2021-03-01,Communication,87.39,-2.7162417900478686,-0.9520571234274078
2021-04-01,Communication,87.32,-2.8158041179744075,-0.08010069802038
2021-05-01,Communication,87.31,-2.162707306140732,-0.01145213009619006
2021-06-01,Communication,87.25,-2.251848532377332,-0.06872065055549825
2021-07-01,Communication,87.13,-2.386287250728225,-0.13753581661891667
2021-08-01,Communication,87.06,-2.431917516530313,-0.08033972225409691
2021-09-01,Communication,86.57,-2.8286002918397224,-0.5628302320239031
2021-10-01,Communication,86.72,-2.1108477254769165,0.17327018597668165
2021-11-01,Communication,86.79,-1.743462017434616,0.08071955719557433
2021-12-01,Communication,84.91,-3.6099443750709614,-2.1661481737527466
2022-01-01,Communication,84.33,-4.647218453188606,-0.6830761983276368
2022-02-01,Communication,84.15,-4.6242774566473965,-0.2134471718249653
2022-03-01,Communication,84.95,-2.7920814738528366,0.9506833036244666
2022-04-01,Communication,84.81,-2.8744846541456592,-0.1648028251912903
2022-05-01,Communication,85.12,-2.508303745275453,0.3655229336163135
2022-06-01,Communication,83.12,-4.7335243553008555,-2.3496240601503793
2022-07-01,Communication,84.51,-3.0070010329392716,1.672281039461021
2022-08-01,Communication,84.91,-2.4695612221456553,0.47331676724646776
2022-09-01,Communication,86.05,-0.6006699780524372,1.3425980449888186
2022-10-01,Communication,87.68,1.1070110701107083,1.8942475305055329
2022-11-01,Communication,86.41,-0.43783846065216236,-1.4484489051095006
2022-12-01,Communication,86.68,2.084560122482637,0.31246383520426857
2023-01-01,Communication,88.67,5.146448476224363,2.2958006460544578
2023-02-01,Communication,88.66,5.3594771241829875,-0.01127777151235243
2023-03-01,Communication,87.45,2.9429075927015935,-1.3647642679900707
2023-04-01,Communication,86.78,2.3228392878198223,-0.7661520869068017
2023-05-01,Communication,86.73,1.891447368421062,-0.057616962433737484
2023-06-01,Communication,87.42,5.17324350336863,0.7955724662746411
2023-07-01,Communication,87.42,3.443379481718134,0.0
2023-08-01,Communication,87.54,3.097397244140865,0.1372683596431168
2023-09-01,Communication,89.05,3.4863451481696783,1.7249257482293778
2023-10-01,Communication,88.87,1.3572080291970767,-0.20213363279055763
2023-11-01,Communication,87.92,1.7474829302164263,-1.0689771576460005
2023-12-01,Communication,87.9,1.4074757729580112,-0.022747952684254447
2024-01-01,Communication,89.94,1.4322769820683368,2.320819112627981
2024-02-01,Communication,89.79,1.2745319196932225,-0.16677785190125638
2024-03-01,Communication,96.59,10.451686678101769,7.5732264171956665
2024-04-01,Communication,97.04,11.823000691403562,0.4658867377575371
2024-05-01,Communication,94.87,9.385449094892184,-2.2361912613355295
2024-06-01,Communication,96.66,10.56966369251886,1.8867924528301883
2024-07-01,Communication,96.82,10.752688172043001,0.1655286571487613
2024-08-01,Communication,96.7,10.463787982636497,-0.1239413344350293
2024-09-01,Communication,95.94,7.7372262773722555,-0.7859358841778796
2024-10-01,Communication,97.23,9.406998987284787,1.344590368980625
2024-11-01,Communication,97.09,10.429936305732479,-0.14398848092153083
2024-12-01,Communication,95.0,8.077360637087594,-2.1526418786692814
2025-01-01,Communication,96.27,7.038025350233479,1.3368421052631474
2025-02-01,Communication,96.19,7.1277425103018155,-0.08309961566427271
2025-03-01,Communication,97.79,1.242364634020099,1.663374571161258
2025-04-01,Communication,97.44,0.41220115416322756,-0.35790980672871786
2025-05-01,Communication,96.39,1.6021924739116677,-1.0775862068965525
2025-06-01,Communication,97.35,0.7138423339540623,0.9959539371304116
2025-07-01,Communication,98.67,1.910762239206787,1.3559322033898313
2025-08-01,Communication,99.66,3.061013443640115,1.0033444816053505
2025-09-01,Communication,98.39,2.5536793829476823,-1.274332731286365
2025-10-01,Communication,98.37,1.1724776303609907,-0.020327269031406026
2025-11-01,Communication,99.38,2.358636316819429,1.0267357934329535
2025-12-01,Communication,99.14,4.357894736842116,-0.24149728315555619
2020-01-01,Education,157.08,,
2020-02-01,Education,157.04,,-0.025464731347102365
2020-03-01,Education,139.35,,-11.264645950076414
2020-04-01,Education,119.63,,-14.151417294581991
2020-05-01,Education,120.38,,0.6269330435509479
2020-06-01,Education,158.05,,31.292573517195564
2020-07-01,Education,157.5,,-0.34799114204366877
2020-08-01,Education,157.75,,0.15873015873015817
2020-09-01,Education,158.47,,0.45641838351822006
2020-10-01,Education,158.47,,0.0
2020-11-01,Education,158.47,,0.0
2020-12-01,Education,158.47,,0.0
2021-01-01,Education,158.76,1.0695187165775222,0.18299993689656624
2021-02-01,Education,158.76,1.0952623535404937,0.0
2021-03-01,Education,143.38,2.891998564764986,-9.687578735197777
2021-04-01,Education,136.77,14.327509821951034,-4.610126935416369
2021-05-01,Education,158.84,31.948828709087906,16.136579659281992
2021-06-01,Education,160.05,1.2654223347042137,0.7617728531855938
2021-07-01,Education,160.05,1.619047619047631,0.0
2021-08-01,Education,160.16,1.5277337559429505,0.06872852233676952
2021-09-01,Education,162.23,2.3726888370038335,1.292457542457548
2021-10-01,Education,162.25,2.3853095223070664,0.012328176046350059
2021-11-01,Education,162.85,2.7639300814034096,0.3697996918335944
2021-12-01,Education,162.87,2.7765507667066425,0.012281240405287441
2022-01-01,Education,163.41,2.9289493575207937,0.33155277214955703
2022-02-01,Education,163.71,3.117913832199548,0.18358729575913557
2022-03-01,Education,163.71,14.179104477611947,0.0
2022-04-01,Education,163.9,19.836221393580455,0.11605888461303504
2022-05-01,Education,163.73,3.0785696298161636,-0.1037217815741398
2022-06-01,Education,164.08,2.5179631365198407,0.21376656690894613
2022-07-01,Education,164.08,2.5179631365198407,0.0
2022-08-01,Education,164.34,2.609890109890123,0.15845928815212407
2022-09-01,Education,175.99,8.481785119891526,7.088961908239022
2022-10-01,Education,175.99,8.468412942989211,0.0
2022-11-01,Education,175.61,7.8354313785692575,-0.21592135916813637
2022-12-01,Education,175.9,8.000245594646028,0.16513865952962892
2023-01-01,Education,177.38,8.549048405850312,0.8413871517907845
2023-02-01,Education,178.46,9.009834463380372,0.6088623294621787
2023-03-01,Education,178.46,9.009834463380372,0.0
